outcome,domain,subgroup,year,aamr
Lung Metastasis,Sex,Both,2003,1.182
Lung Metastasis,Sex,Both,2004,1.137
Lung Metastasis,Sex,Both,2005,1.093
Lung Metastasis,Sex,Both,2006,1.052
Lung Metastasis,Sex,Both,2007,1.012
Lung Metastasis,Sex,Both,2008,0.973
Lung Metastasis,Sex,Both,2009,0.987
Lung Metastasis,Sex,Both,2010,1.0
Lung Metastasis,Sex,Both,2011,1.014
Lung Metastasis,Sex,Both,2012,1.029
Lung Metastasis,Sex,Both,2013,1.043
Lung Metastasis,Sex,Both,2014,1.057
Lung Metastasis,Sex,Both,2015,1.145
Lung Metastasis,Sex,Both,2016,1.241
Lung Metastasis,Sex,Both,2017,1.344
Lung Metastasis,Sex,Both,2018,1.372
Lung Metastasis,Sex,Both,2019,1.4
Lung Metastasis,Sex,Both,2020,1.429
Lung Metastasis,Sex,Both,2021,1.459
Lung Metastasis,Sex,Both,2022,1.489
Lung Metastasis,Sex,Both,2023,1.52
Colorectal Cancer,Sex,Female,1999,27.25
Colorectal Cancer,Sex,Female,2000,26.496
Colorectal Cancer,Sex,Female,2001,25.763
Colorectal Cancer,Sex,Female,2002,25.051
Colorectal Cancer,Sex,Female,2003,24.358
Colorectal Cancer,Sex,Female,2004,23.684
Colorectal Cancer,Sex,Female,2005,23.029
Colorectal Cancer,Sex,Female,2006,22.392
Colorectal Cancer,Sex,Female,2007,21.772
Colorectal Cancer,Sex,Female,2008,21.17
Colorectal Cancer,Sex,Female,2009,20.585
Colorectal Cancer,Sex,Female,2010,20.015
Colorectal Cancer,Sex,Female,2011,19.462
Colorectal Cancer,Sex,Female,2012,18.923
Colorectal Cancer,Sex,Female,2013,18.57
Colorectal Cancer,Sex,Female,2014,18.224
Colorectal Cancer,Sex,Female,2015,17.884
Colorectal Cancer,Sex,Female,2016,17.55
Colorectal Cancer,Sex,Female,2017,17.222
Colorectal Cancer,Sex,Female,2018,16.901
Colorectal Cancer,Sex,Female,2019,16.586
Colorectal Cancer,Sex,Female,2020,16.276
Colorectal Cancer,Sex,Female,2021,16.334
Colorectal Cancer,Sex,Female,2022,16.392
Colorectal Cancer,Sex,Female,2023,16.45
Liver Metastasis,Sex,Female,1999,2.72
Liver Metastasis,Sex,Female,2000,2.508
Liver Metastasis,Sex,Female,2001,2.313
Liver Metastasis,Sex,Female,2002,2.133
Liver Metastasis,Sex,Female,2003,1.967
Liver Metastasis,Sex,Female,2004,1.813
Liver Metastasis,Sex,Female,2005,1.672
Liver Metastasis,Sex,Female,2006,1.542
Liver Metastasis,Sex,Female,2007,1.422
Liver Metastasis,Sex,Female,2008,1.311
Liver Metastasis,Sex,Female,2009,1.292
Liver Metastasis,Sex,Female,2010,1.273
Liver Metastasis,Sex,Female,2011,1.255
Liver Metastasis,Sex,Female,2012,1.236
Liver Metastasis,Sex,Female,2013,1.218
Liver Metastasis,Sex,Female,2014,1.343
Liver Metastasis,Sex,Female,2015,1.48
Liver Metastasis,Sex,Female,2016,1.631
Liver Metastasis,Sex,Female,2017,1.673
Liver Metastasis,Sex,Female,2018,1.717
Liver Metastasis,Sex,Female,2019,1.761
Liver Metastasis,Sex,Female,2020,1.806
Liver Metastasis,Sex,Female,2021,1.853
Liver Metastasis,Sex,Female,2022,1.901
Liver Metastasis,Sex,Female,2023,1.95
Lung Metastasis,Sex,Female,1999,1.03
Lung Metastasis,Sex,Female,2000,0.99
Lung Metastasis,Sex,Female,2001,0.951
Lung Metastasis,Sex,Female,2002,0.914
Lung Metastasis,Sex,Female,2003,0.878
Lung Metastasis,Sex,Female,2004,0.844
Lung Metastasis,Sex,Female,2005,0.811
Lung Metastasis,Sex,Female,2006,0.779
Lung Metastasis,Sex,Female,2007,0.778
Lung Metastasis,Sex,Female,2008,0.777
Lung Metastasis,Sex,Female,2009,0.775
Lung Metastasis,Sex,Female,2010,0.774
Lung Metastasis,Sex,Female,2011,0.773
Lung Metastasis,Sex,Female,2012,0.772
Lung Metastasis,Sex,Female,2013,0.77
Lung Metastasis,Sex,Female,2014,0.769
Lung Metastasis,Sex,Female,2015,0.857
Lung Metastasis,Sex,Female,2016,0.956
Lung Metastasis,Sex,Female,2017,1.065
Lung Metastasis,Sex,Female,2018,1.085
Lung Metastasis,Sex,Female,2019,1.105
Lung Metastasis,Sex,Female,2020,1.126
Lung Metastasis,Sex,Female,2021,1.147
Lung Metastasis,Sex,Female,2022,1.168
Lung Metastasis,Sex,Female,2023,1.19
Colorectal Cancer,Sex,Male,1999,38.87
Colorectal Cancer,Sex,Male,2000,38.103
Colorectal Cancer,Sex,Male,2001,37.352
Colorectal Cancer,Sex,Male,2002,36.615
Colorectal Cancer,Sex,Male,2003,35.157
Colorectal Cancer,Sex,Male,2004,33.756
Colorectal Cancer,Sex,Male,2005,32.412
Colorectal Cancer,Sex,Male,2006,31.604
Colorectal Cancer,Sex,Male,2007,30.816
Colorectal Cancer,Sex,Male,2008,30.048
Colorectal Cancer,Sex,Male,2009,29.299
Colorectal Cancer,Sex,Male,2010,28.569
Colorectal Cancer,Sex,Male,2011,27.857
Colorectal Cancer,Sex,Male,2012,27.163
Colorectal Cancer,Sex,Male,2013,26.485
Colorectal Cancer,Sex,Male,2014,25.984
Colorectal Cancer,Sex,Male,2015,25.493
Colorectal Cancer,Sex,Male,2016,25.01
Colorectal Cancer,Sex,Male,2017,24.537
Colorectal Cancer,Sex,Male,2018,24.072
Colorectal Cancer,Sex,Male,2019,23.617
Colorectal Cancer,Sex,Male,2020,23.52
Colorectal Cancer,Sex,Male,2021,23.423
Colorectal Cancer,Sex,Male,2022,23.326
Colorectal Cancer,Sex,Male,2023,23.23
Liver Metastasis,Sex,Male,1999,4.15
Liver Metastasis,Sex,Male,2000,3.802
Liver Metastasis,Sex,Male,2001,3.483
Liver Metastasis,Sex,Male,2002,3.191
Liver Metastasis,Sex,Male,2003,2.923
Liver Metastasis,Sex,Male,2004,2.678
Liver Metastasis,Sex,Male,2005,2.453
Liver Metastasis,Sex,Male,2006,2.247
Liver Metastasis,Sex,Male,2007,2.059
Liver Metastasis,Sex,Male,2008,2.04
Liver Metastasis,Sex,Male,2009,2.021
Liver Metastasis,Sex,Male,2010,2.003
Liver Metastasis,Sex,Male,2011,1.985
Liver Metastasis,Sex,Male,2012,1.967
Liver Metastasis,Sex,Male,2013,1.949
Liver Metastasis,Sex,Male,2014,2.127
Liver Metastasis,Sex,Male,2015,2.321
Liver Metastasis,Sex,Male,2016,2.533
Liver Metastasis,Sex,Male,2017,2.61
Liver Metastasis,Sex,Male,2018,2.689
Liver Metastasis,Sex,Male,2019,2.77
Liver Metastasis,Sex,Male,2020,2.854
Liver Metastasis,Sex,Male,2021,2.94
Liver Metastasis,Sex,Male,2022,3.029
Liver Metastasis,Sex,Male,2023,3.12
Lung Metastasis,Sex,Male,1999,1.88
Lung Metastasis,Sex,Male,2000,1.797
Lung Metastasis,Sex,Male,2001,1.718
Lung Metastasis,Sex,Male,2002,1.643
Lung Metastasis,Sex,Male,2003,1.57
Lung Metastasis,Sex,Male,2004,1.501
Lung Metastasis,Sex,Male,2005,1.435
Lung Metastasis,Sex,Male,2006,1.372
Lung Metastasis,Sex,Male,2007,1.312
Lung Metastasis,Sex,Male,2008,1.254
Lung Metastasis,Sex,Male,2009,1.264
Lung Metastasis,Sex,Male,2010,1.274
Lung Metastasis,Sex,Male,2011,1.285
Lung Metastasis,Sex,Male,2012,1.295
Lung Metastasis,Sex,Male,2013,1.306
Lung Metastasis,Sex,Male,2014,1.386
Lung Metastasis,Sex,Male,2015,1.472
Lung Metastasis,Sex,Male,2016,1.563
Lung Metastasis,Sex,Male,2017,1.659
Lung Metastasis,Sex,Male,2018,1.691
Lung Metastasis,Sex,Male,2019,1.723
Lung Metastasis,Sex,Male,2020,1.757
Lung Metastasis,Sex,Male,2021,1.79
Lung Metastasis,Sex,Male,2022,1.825
Lung Metastasis,Sex,Male,2023,1.86
Colorectal Cancer,Race,Hispanic,1999,21.98
Colorectal Cancer,Race,Hispanic,2000,15.687
Colorectal Cancer,Race,Hispanic,2001,15.709
Colorectal Cancer,Race,Hispanic,2002,15.729
Colorectal Cancer,Race,Hispanic,2003,15.748
Colorectal Cancer,Race,Hispanic,2004,15.765
Colorectal Cancer,Race,Hispanic,2005,15.78
Colorectal Cancer,Race,Hispanic,2006,15.794
Colorectal Cancer,Race,Hispanic,2007,15.806
Colorectal Cancer,Race,Hispanic,2008,15.817
Colorectal Cancer,Race,Hispanic,2009,15.826
Colorectal Cancer,Race,Hispanic,2010,15.833
Colorectal Cancer,Race,Hispanic,2011,15.839
Colorectal Cancer,Race,Hispanic,2012,15.844
Colorectal Cancer,Race,Hispanic,2013,15.847
Colorectal Cancer,Race,Hispanic,2014,15.849
Colorectal Cancer,Race,Hispanic,2015,15.849
Colorectal Cancer,Race,Hispanic,2016,15.849
Colorectal Cancer,Race,Hispanic,2017,15.846
Colorectal Cancer,Race,Hispanic,2018,15.843
Colorectal Cancer,Race,Hispanic,2019,15.838
Colorectal Cancer,Race,Hispanic,2020,15.465
Colorectal Cancer,Race,Hispanic,2021,15.669
Colorectal Cancer,Race,Hispanic,2022,15.874
Colorectal Cancer,Race,Hispanic,2023,16.08
Liver Metastasis,Race,Hispanic,1999,2.25
Liver Metastasis,Race,Hispanic,2000,2.103
Liver Metastasis,Race,Hispanic,2001,1.966
Liver Metastasis,Race,Hispanic,2002,1.837
Liver Metastasis,Race,Hispanic,2003,1.716
Liver Metastasis,Race,Hispanic,2004,1.604
Liver Metastasis,Race,Hispanic,2005,1.498
Liver Metastasis,Race,Hispanic,2006,1.399
Liver Metastasis,Race,Hispanic,2007,1.307
Liver Metastasis,Race,Hispanic,2008,1.221
Liver Metastasis,Race,Hispanic,2009,1.256
Liver Metastasis,Race,Hispanic,2010,1.293
Liver Metastasis,Race,Hispanic,2011,1.943
Liver Metastasis,Race,Hispanic,2012,1.96
Liver Metastasis,Race,Hispanic,2013,1.978
Liver Metastasis,Race,Hispanic,2014,1.995
Liver Metastasis,Race,Hispanic,2015,2.013
Liver Metastasis,Race,Hispanic,2016,2.03
Liver Metastasis,Race,Hispanic,2017,2.047
Liver Metastasis,Race,Hispanic,2018,2.064
Liver Metastasis,Race,Hispanic,2019,2.08
Liver Metastasis,Race,Hispanic,2020,2.097
Liver Metastasis,Race,Hispanic,2021,2.172
Liver Metastasis,Race,Hispanic,2022,2.115
Liver Metastasis,Race,Hispanic,2023,2.06
Lung Metastasis,Race,Hispanic,1999,1.1
Lung Metastasis,Race,Hispanic,2000,1.019
Lung Metastasis,Race,Hispanic,2001,0.944
Lung Metastasis,Race,Hispanic,2002,0.874
Lung Metastasis,Race,Hispanic,2003,0.809
Lung Metastasis,Race,Hispanic,2004,0.75
Lung Metastasis,Race,Hispanic,2005,0.761
Lung Metastasis,Race,Hispanic,2006,0.773
Lung Metastasis,Race,Hispanic,2007,0.786
Lung Metastasis,Race,Hispanic,2008,0.798
Lung Metastasis,Race,Hispanic,2009,0.811
Lung Metastasis,Race,Hispanic,2010,0.823
Lung Metastasis,Race,Hispanic,2011,0.836
Lung Metastasis,Race,Hispanic,2012,0.85
Lung Metastasis,Race,Hispanic,2013,0.863
Lung Metastasis,Race,Hispanic,2014,0.981
Lung Metastasis,Race,Hispanic,2015,1.116
Lung Metastasis,Race,Hispanic,2016,1.269
Lung Metastasis,Race,Hispanic,2017,1.265
Lung Metastasis,Race,Hispanic,2018,1.261
Lung Metastasis,Race,Hispanic,2019,1.257
Lung Metastasis,Race,Hispanic,2020,1.253
Lung Metastasis,Race,Hispanic,2021,1.248
Lung Metastasis,Race,Hispanic,2022,1.244
Lung Metastasis,Race,Hispanic,2023,1.24
Colorectal Cancer,Race,NH Asian,1999,18.54
Colorectal Cancer,Race,NH Asian,2000,18.29
Colorectal Cancer,Race,NH Asian,2001,18.043
Colorectal Cancer,Race,NH Asian,2002,17.799
Colorectal Cancer,Race,NH Asian,2003,17.558
Colorectal Cancer,Race,NH Asian,2004,17.32
Colorectal Cancer,Race,NH Asian,2005,17.085
Colorectal Cancer,Race,NH Asian,2006,16.853
Colorectal Cancer,Race,NH Asian,2007,16.625
Colorectal Cancer,Race,NH Asian,2008,16.399
Colorectal Cancer,Race,NH Asian,2009,16.176
Colorectal Cancer,Race,NH Asian,2010,15.956
Colorectal Cancer,Race,NH Asian,2011,15.738
Colorectal Cancer,Race,NH Asian,2012,15.524
Colorectal Cancer,Race,NH Asian,2013,15.312
Colorectal Cancer,Race,NH Asian,2014,15.103
Colorectal Cancer,Race,NH Asian,2015,14.897
Colorectal Cancer,Race,NH Asian,2016,14.693
Colorectal Cancer,Race,NH Asian,2017,14.492
Colorectal Cancer,Race,NH Asian,2018,14.294
Colorectal Cancer,Race,NH Asian,2019,14.098
Colorectal Cancer,Race,NH Asian,2020,13.905
Colorectal Cancer,Race,NH Asian,2021,13.714
Colorectal Cancer,Race,NH Asian,2022,13.526
Colorectal Cancer,Race,NH Asian,2023,13.34
Liver Metastasis,Race,NH Asian,1999,2.07
Liver Metastasis,Race,NH Asian,2000,1.87
Liver Metastasis,Race,NH Asian,2001,1.689
Liver Metastasis,Race,NH Asian,2002,1.526
Liver Metastasis,Race,NH Asian,2003,1.378
Liver Metastasis,Race,NH Asian,2004,1.245
Liver Metastasis,Race,NH Asian,2005,1.125
Liver Metastasis,Race,NH Asian,2006,1.016
Liver Metastasis,Race,NH Asian,2007,1.048
Liver Metastasis,Race,NH Asian,2008,1.08
Liver Metastasis,Race,NH Asian,2009,1.114
Liver Metastasis,Race,NH Asian,2010,1.148
Liver Metastasis,Race,NH Asian,2011,1.184
Liver Metastasis,Race,NH Asian,2012,1.221
Liver Metastasis,Race,NH Asian,2013,1.259
Liver Metastasis,Race,NH Asian,2014,1.298
Liver Metastasis,Race,NH Asian,2015,1.338
Liver Metastasis,Race,NH Asian,2016,1.38
Liver Metastasis,Race,NH Asian,2017,1.423
Liver Metastasis,Race,NH Asian,2018,1.467
Liver Metastasis,Race,NH Asian,2019,1.513
Liver Metastasis,Race,NH Asian,2020,1.56
Liver Metastasis,Race,NH Asian,2021,1.608
Liver Metastasis,Race,NH Asian,2022,1.658
Liver Metastasis,Race,NH Asian,2023,1.71
Lung Metastasis,Race,NH Asian,1999,1.0
Lung Metastasis,Race,NH Asian,2000,0.937
Lung Metastasis,Race,NH Asian,2001,0.878
Lung Metastasis,Race,NH Asian,2002,0.822
Lung Metastasis,Race,NH Asian,2003,0.77
Lung Metastasis,Race,NH Asian,2004,0.722
Lung Metastasis,Race,NH Asian,2005,0.744
Lung Metastasis,Race,NH Asian,2006,0.766
Lung Metastasis,Race,NH Asian,2007,0.789
Lung Metastasis,Race,NH Asian,2008,0.813
Lung Metastasis,Race,NH Asian,2009,0.838
Lung Metastasis,Race,NH Asian,2010,0.863
Lung Metastasis,Race,NH Asian,2011,0.889
Lung Metastasis,Race,NH Asian,2012,0.916
Lung Metastasis,Race,NH Asian,2013,0.943
Lung Metastasis,Race,NH Asian,2014,0.972
Lung Metastasis,Race,NH Asian,2015,1.001
Lung Metastasis,Race,NH Asian,2016,1.031
Lung Metastasis,Race,NH Asian,2017,1.063
Lung Metastasis,Race,NH Asian,2018,1.095
Lung Metastasis,Race,NH Asian,2019,1.128
Lung Metastasis,Race,NH Asian,2020,1.162
Lung Metastasis,Race,NH Asian,2021,1.197
Lung Metastasis,Race,NH Asian,2022,1.233
Lung Metastasis,Race,NH Asian,2023,1.27
Colorectal Cancer,Race,NH Black,1999,44.0
Colorectal Cancer,Race,NH Black,2000,42.864
Colorectal Cancer,Race,NH Black,2001,41.758
Colorectal Cancer,Race,NH Black,2002,40.68
Colorectal Cancer,Race,NH Black,2003,39.63
Colorectal Cancer,Race,NH Black,2004,38.607
Colorectal Cancer,Race,NH Black,2005,37.61
Colorectal Cancer,Race,NH Black,2006,36.639
Colorectal Cancer,Race,NH Black,2007,35.693
Colorectal Cancer,Race,NH Black,2008,34.771
Colorectal Cancer,Race,NH Black,2009,33.873
Colorectal Cancer,Race,NH Black,2010,32.998
Colorectal Cancer,Race,NH Black,2011,32.146
Colorectal Cancer,Race,NH Black,2012,31.315
Colorectal Cancer,Race,NH Black,2013,30.506
Colorectal Cancer,Race,NH Black,2014,29.718
Colorectal Cancer,Race,NH Black,2015,28.95
Colorectal Cancer,Race,NH Black,2016,28.202
Colorectal Cancer,Race,NH Black,2017,27.474
Colorectal Cancer,Race,NH Black,2018,26.763
Colorectal Cancer,Race,NH Black,2019,26.072
Colorectal Cancer,Race,NH Black,2020,25.774
Colorectal Cancer,Race,NH Black,2021,25.479
Colorectal Cancer,Race,NH Black,2022,25.188
Colorectal Cancer,Race,NH Black,2023,24.9
Liver Metastasis,Race,NH Black,1999,4.85
Liver Metastasis,Race,NH Black,2000,4.47
Liver Metastasis,Race,NH Black,2001,4.121
Liver Metastasis,Race,NH Black,2002,3.798
Liver Metastasis,Race,NH Black,2003,3.501
Liver Metastasis,Race,NH Black,2004,3.227
Liver Metastasis,Race,NH Black,2005,2.974
Liver Metastasis,Race,NH Black,2006,2.742
Liver Metastasis,Race,NH Black,2007,2.527
Liver Metastasis,Race,NH Black,2008,2.329
Liver Metastasis,Race,NH Black,2009,2.147
Liver Metastasis,Race,NH Black,2010,2.202
Liver Metastasis,Race,NH Black,2011,2.259
Liver Metastasis,Race,NH Black,2012,2.318
Liver Metastasis,Race,NH Black,2013,2.378
Liver Metastasis,Race,NH Black,2014,2.439
Liver Metastasis,Race,NH Black,2015,2.503
Liver Metastasis,Race,NH Black,2016,2.567
Liver Metastasis,Race,NH Black,2017,2.634
Liver Metastasis,Race,NH Black,2018,2.702
Liver Metastasis,Race,NH Black,2019,2.772
Liver Metastasis,Race,NH Black,2020,2.844
Liver Metastasis,Race,NH Black,2021,2.917
Liver Metastasis,Race,NH Black,2022,2.993
Liver Metastasis,Race,NH Black,2023,3.07
Lung Metastasis,Race,NH Black,1999,1.75
Lung Metastasis,Race,NH Black,2000,1.69
Lung Metastasis,Race,NH Black,2001,1.631
Lung Metastasis,Race,NH Black,2002,1.575
Lung Metastasis,Race,NH Black,2003,1.521
Lung Metastasis,Race,NH Black,2004,1.468
Lung Metastasis,Race,NH Black,2005,1.417
Lung Metastasis,Race,NH Black,2006,1.369
Lung Metastasis,Race,NH Black,2007,1.321
Lung Metastasis,Race,NH Black,2008,1.276
Lung Metastasis,Race,NH Black,2009,1.232
Lung Metastasis,Race,NH Black,2010,1.258
Lung Metastasis,Race,NH Black,2011,1.284
Lung Metastasis,Race,NH Black,2012,1.311
Lung Metastasis,Race,NH Black,2013,1.339
Lung Metastasis,Race,NH Black,2014,1.367
Lung Metastasis,Race,NH Black,2015,1.396
Lung Metastasis,Race,NH Black,2016,1.426
Lung Metastasis,Race,NH Black,2017,1.456
Lung Metastasis,Race,NH Black,2018,1.486
Lung Metastasis,Race,NH Black,2019,1.518
Lung Metastasis,Race,NH Black,2020,1.55
Lung Metastasis,Race,NH Black,2021,1.583
Lung Metastasis,Race,NH Black,2022,1.616
Lung Metastasis,Race,NH Black,2023,1.65
Colorectal Cancer,Race,NH White,1999,31.72
Colorectal Cancer,Race,NH White,2000,30.834
Colorectal Cancer,Race,NH White,2001,29.973
Colorectal Cancer,Race,NH White,2002,29.135
Colorectal Cancer,Race,NH White,2003,28.322
Colorectal Cancer,Race,NH White,2004,27.531
Colorectal Cancer,Race,NH White,2005,26.761
Colorectal Cancer,Race,NH White,2006,26.014
Colorectal Cancer,Race,NH White,2007,25.287
Colorectal Cancer,Race,NH White,2008,24.581
Colorectal Cancer,Race,NH White,2009,23.894
Colorectal Cancer,Race,NH White,2010,23.227
Colorectal Cancer,Race,NH White,2011,22.578
Colorectal Cancer,Race,NH White,2012,22.214
Colorectal Cancer,Race,NH White,2013,21.855
Colorectal Cancer,Race,NH White,2014,21.503
Colorectal Cancer,Race,NH White,2015,21.156
Colorectal Cancer,Race,NH White,2016,20.815
Colorectal Cancer,Race,NH White,2017,20.479
Colorectal Cancer,Race,NH White,2018,20.149
Colorectal Cancer,Race,NH White,2019,19.824
Colorectal Cancer,Race,NH White,2020,19.504
Colorectal Cancer,Race,NH White,2021,19.681
Colorectal Cancer,Race,NH White,2022,19.86
Colorectal Cancer,Race,NH White,2023,20.04
Liver Metastasis,Race,NH White,1999,3.24
Liver Metastasis,Race,NH White,2000,2.975
Liver Metastasis,Race,NH White,2001,2.731
Liver Metastasis,Race,NH White,2002,2.508
Liver Metastasis,Race,NH White,2003,2.303
Liver Metastasis,Race,NH White,2004,2.114
Liver Metastasis,Race,NH White,2005,1.941
Liver Metastasis,Race,NH White,2006,1.782
Liver Metastasis,Race,NH White,2007,1.636
Liver Metastasis,Race,NH White,2008,1.611
Liver Metastasis,Race,NH White,2009,1.586
Liver Metastasis,Race,NH White,2010,1.562
Liver Metastasis,Race,NH White,2011,1.538
Liver Metastasis,Race,NH White,2012,1.514
Liver Metastasis,Race,NH White,2013,1.491
Liver Metastasis,Race,NH White,2014,1.644
Liver Metastasis,Race,NH White,2015,1.812
Liver Metastasis,Race,NH White,2016,1.998
Liver Metastasis,Race,NH White,2017,2.072
Liver Metastasis,Race,NH White,2018,2.149
Liver Metastasis,Race,NH White,2019,2.229
Liver Metastasis,Race,NH White,2020,2.312
Liver Metastasis,Race,NH White,2021,2.398
Liver Metastasis,Race,NH White,2022,2.487
Liver Metastasis,Race,NH White,2023,2.58
Lung Metastasis,Race,NH White,1999,1.33
Lung Metastasis,Race,NH White,2000,1.284
Lung Metastasis,Race,NH White,2001,1.24
Lung Metastasis,Race,NH White,2002,1.197
Lung Metastasis,Race,NH White,2003,1.155
Lung Metastasis,Race,NH White,2004,1.115
Lung Metastasis,Race,NH White,2005,1.077
Lung Metastasis,Race,NH White,2006,1.04
Lung Metastasis,Race,NH White,2007,1.004
Lung Metastasis,Race,NH White,2008,0.969
Lung Metastasis,Race,NH White,2009,0.935
Lung Metastasis,Race,NH White,2010,0.955
Lung Metastasis,Race,NH White,2011,0.975
Lung Metastasis,Race,NH White,2012,0.995
Lung Metastasis,Race,NH White,2013,1.015
Lung Metastasis,Race,NH White,2014,1.036
Lung Metastasis,Race,NH White,2015,1.127
Lung Metastasis,Race,NH White,2016,1.225
Lung Metastasis,Race,NH White,2017,1.332
Lung Metastasis,Race,NH White,2018,1.372
Lung Metastasis,Race,NH White,2019,1.413
Lung Metastasis,Race,NH White,2020,1.455
Lung Metastasis,Race,NH White,2021,1.499
Lung Metastasis,Race,NH White,2022,1.544
Lung Metastasis,Race,NH White,2023,1.59
Colorectal Cancer,Age Group,25-34 years,1999,0.69
Colorectal Cancer,Age Group,25-34 years,2000,0.695
Colorectal Cancer,Age Group,25-34 years,2001,0.699
Colorectal Cancer,Age Group,25-34 years,2002,0.704
Colorectal Cancer,Age Group,25-34 years,2003,0.709
Colorectal Cancer,Age Group,25-34 years,2004,0.714
Colorectal Cancer,Age Group,25-34 years,2005,0.718
Colorectal Cancer,Age Group,25-34 years,2006,0.723
Colorectal Cancer,Age Group,25-34 years,2007,0.728
Colorectal Cancer,Age Group,25-34 years,2008,0.733
Colorectal Cancer,Age Group,25-34 years,2009,0.738
Colorectal Cancer,Age Group,25-34 years,2010,0.743
Colorectal Cancer,Age Group,25-34 years,2011,0.748
Colorectal Cancer,Age Group,25-34 years,2012,0.753
Colorectal Cancer,Age Group,25-34 years,2013,0.758
Colorectal Cancer,Age Group,25-34 years,2014,0.763
Colorectal Cancer,Age Group,25-34 years,2015,0.768
Colorectal Cancer,Age Group,25-34 years,2016,0.773
Colorectal Cancer,Age Group,25-34 years,2017,0.778
Colorectal Cancer,Age Group,25-34 years,2018,0.784
Colorectal Cancer,Age Group,25-34 years,2019,0.789
Colorectal Cancer,Age Group,25-34 years,2020,0.794
Colorectal Cancer,Age Group,25-34 years,2021,0.799
Colorectal Cancer,Age Group,25-34 years,2022,0.805
Colorectal Cancer,Age Group,25-34 years,2023,0.81
Colorectal Cancer,Age Group,35-44 years,1999,2.87
Colorectal Cancer,Age Group,35-44 years,2000,2.901
Colorectal Cancer,Age Group,35-44 years,2001,2.932
Colorectal Cancer,Age Group,35-44 years,2002,2.964
Colorectal Cancer,Age Group,35-44 years,2003,2.995
Colorectal Cancer,Age Group,35-44 years,2004,3.028
Colorectal Cancer,Age Group,35-44 years,2005,3.06
Colorectal Cancer,Age Group,35-44 years,2006,3.093
Colorectal Cancer,Age Group,35-44 years,2007,3.126
Colorectal Cancer,Age Group,35-44 years,2008,3.16
Colorectal Cancer,Age Group,35-44 years,2009,3.194
Colorectal Cancer,Age Group,35-44 years,2010,3.228
Colorectal Cancer,Age Group,35-44 years,2011,3.263
Colorectal Cancer,Age Group,35-44 years,2012,3.298
Colorectal Cancer,Age Group,35-44 years,2013,3.334
Colorectal Cancer,Age Group,35-44 years,2014,3.37
Colorectal Cancer,Age Group,35-44 years,2015,3.406
Colorectal Cancer,Age Group,35-44 years,2016,3.442
Colorectal Cancer,Age Group,35-44 years,2017,3.479
Colorectal Cancer,Age Group,35-44 years,2018,3.517
Colorectal Cancer,Age Group,35-44 years,2019,3.555
Colorectal Cancer,Age Group,35-44 years,2020,3.593
